KB,Inferring time (ms), Adding atoms (ms), Inferred axioms
./evaluation/KB/dogs_400.ttl, 229, 20, 183
./evaluation/KB/dogs_409600.ttl, 86278, 67532, 175193
./evaluation/KB/dogs_50.ttl, 145, 8, 22
./evaluation/KB/dogs_51200.ttl, 9300, 6368, 21837
./evaluation/KB/dogs_6400.ttl, 1578, 924, 2767
./evaluation/KB/dogs_800.ttl, 283, 83, 296
./evaluation/KB/dogs_819200.ttl, 184934, 146990, 350156
./evaluation/KB/dogs_100.ttl, 134, 7, 41
./evaluation/KB/dogs_102400.ttl, 19026, 14033, 43871
./evaluation/KB/dogs_12800.ttl, 2746, 1795, 5335
./evaluation/KB/dogs_1600.ttl, 553, 240, 696
./evaluation/KB/dogs_1.ttl, 126, 2, 2
./evaluation/KB/dogs_200.ttl, 172, 13, 90
./evaluation/KB/dogs_204800.ttl, 41199, 31699, 87533
./evaluation/KB/dogs_25600.ttl, 5793, 4194, 10912
./evaluation/KB/dogs_3200.ttl, 951, 459, 1316
./evaluation/KB/dogs_400.ttl, 226, 18, 183
./evaluation/KB/dogs_409600.ttl, 89623, 71175, 175193
./evaluation/KB/dogs_50.ttl, 147, 7, 22
./evaluation/KB/dogs_51200.ttl, 9350, 6503, 21837
./evaluation/KB/dogs_6400.ttl, 1489, 920, 2767
./evaluation/KB/dogs_800.ttl, 312, 83, 296
./evaluation/KB/dogs_819200.ttl, 179140, 141681, 350156
./evaluation/KB/dogs_100.ttl, 137, 6, 41
./evaluation/KB/dogs_102400.ttl, 19648, 14733, 43871
./evaluation/KB/dogs_12800.ttl, 3027, 2089, 5335
./evaluation/KB/dogs_1600.ttl, 536, 236, 696
./evaluation/KB/dogs_1.ttl, 127, 4, 2
./evaluation/KB/dogs_200.ttl, 161, 13, 90
./evaluation/KB/dogs_204800.ttl, 39868, 30456, 87533
./evaluation/KB/dogs_25600.ttl, 5739, 4253, 10912
./evaluation/KB/dogs_3200.ttl, 989, 475, 1316
./evaluation/KB/dogs_400.ttl, 191, 19, 183
./evaluation/KB/dogs_409600.ttl, 86172, 67797, 175193
./evaluation/KB/dogs_50.ttl, 121, 9, 22
./evaluation/KB/dogs_51200.ttl, 9264, 6608, 21837
./evaluation/KB/dogs_6400.ttl, 1399, 790, 2767
./evaluation/KB/dogs_800.ttl, 318, 88, 296
./evaluation/KB/dogs_819200.ttl, 188740, 151481, 350156
./evaluation/KB/dogs_100.ttl, 137, 7, 41
./evaluation/KB/dogs_102400.ttl, 18697, 13694, 43871
./evaluation/KB/dogs_12800.ttl, 2683, 1785, 5335
./evaluation/KB/dogs_1600.ttl, 526, 224, 696
./evaluation/KB/dogs_1.ttl, 156, 1, 2
./evaluation/KB/dogs_200.ttl, 189, 19, 90
./evaluation/KB/dogs_204800.ttl, 40979, 31509, 87533
./evaluation/KB/dogs_25600.ttl, 4971, 3427, 10912
./evaluation/KB/dogs_3200.ttl, 904, 433, 1316
./evaluation/KB/dogs_400.ttl, 212, 20, 183
./evaluation/KB/dogs_409600.ttl, 86938, 67970, 175193
./evaluation/KB/dogs_50.ttl, 191, 6, 22
./evaluation/KB/dogs_51200.ttl, 9884, 7084, 21837
./evaluation/KB/dogs_6400.ttl, 1513, 952, 2767
./evaluation/KB/dogs_800.ttl, 287, 73, 296
./evaluation/KB/dogs_819200.ttl, 192399, 155033, 350156
